V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.932496,0.012591,0.000085,7.278769,7.278855,144.644844,144.644817,1.618382,1.569852,0.000086,0.007396,0.695698,0.695688,0.695629,0.452149,0.695589,0.000191,0.497934,0.265501,0.001006,0.999549,0.574897,0.000512,0.999549,0.626263,0.000000,1.000000,0.900122,1.000000,0.999735,0.999964,1.000000,1.000000,0.002754,0.861265,0.000060,0.000000,0.000075,0.000458,0.000171,0.084130,0.038965,0.014877,33.000000,0.289335,0.000194,0.996778,0.000000,0.000000
-87.932479,0.012620,0.000085,7.278785,7.278871,144.644721,144.644694,1.618941,1.570257,0.000086,0.007396,0.695698,0.695687,0.695628,0.452148,0.695588,0.000191,0.498005,0.265669,0.001006,0.999549,0.575336,0.000512,0.999549,0.626738,0.000000,1.000000,0.900221,1.000000,0.999736,0.999965,1.000000,1.000000,0.002756,0.871876,0.000060,0.000000,0.000076,0.000481,0.000179,0.076885,0.036322,0.014121,33.000000,0.289236,0.000194,0.996778,0.000000,0.000000
-87.932275,0.012684,0.000085,7.278799,7.278885,144.644411,144.644385,1.620462,1.571469,0.000086,0.007396,0.695691,0.695680,0.695620,0.452139,0.695580,0.000191,0.497913,0.265463,0.001006,0.999549,0.574814,0.000512,0.999549,0.626110,0.000000,1.000000,0.899618,1.000000,0.999732,0.999964,1.000000,1.000000,0.002763,0.867308,0.000060,0.000000,0.000075,0.000444,0.000166,0.080453,0.037209,0.014285,33.000000,0.290196,0.000194,0.996778,0.000000,0.000000
-87.932357,0.012634,0.000085,7.278791,7.278877,144.644616,144.644589,1.619443,1.570713,0.000086,0.007396,0.695693,0.695683,0.695624,0.452143,0.695584,0.000191,0.497899,0.265425,0.001006,0.999549,0.574706,0.000512,0.999549,0.626017,0.000000,1.000000,0.899762,1.000000,0.999733,0.999964,1.000000,1.000000,0.002759,0.862506,0.000060,0.000000,0.000075,0.000441,0.000165,0.083572,0.038434,0.014748,33.000000,0.289928,0.000194,0.996778,0.000000,0.000000
-87.932269,0.012654,0.000085,7.278862,7.278948,144.644412,144.644385,1.620117,1.571362,0.000086,0.007396,0.695690,0.695680,0.695620,0.452139,0.695580,0.000191,0.498064,0.265819,0.001006,0.999549,0.575748,0.000512,0.999549,0.627170,0.000000,1.000000,0.900237,1.000000,0.999737,0.999965,1.000000,1.000000,0.002760,0.879121,0.000061,0.000000,0.000077,0.000512,0.000191,0.071802,0.034612,0.013624,33.000000,0.289132,0.000194,0.996778,0.000000,0.000000
-87.932546,0.012574,0.000085,7.278935,7.279020,144.644734,144.644707,1.618093,1.569663,0.000086,0.007396,0.695700,0.695690,0.695631,0.452151,0.695591,0.000191,0.498211,0.266194,0.001006,0.999549,0.576604,0.000512,0.999549,0.628186,0.000000,1.000000,0.901246,1.000000,0.999743,0.999966,1.000000,1.000000,0.002752,0.885549,0.000061,0.000000,0.000076,0.000369,0.000137,0.069992,0.031681,0.012134,33.000000,0.287345,0.000194,0.996778,0.000000,0.000000
-87.932427,0.012618,0.000085,7.278878,7.278964,144.644604,144.644577,1.619057,1.570412,0.000086,0.007396,0.695696,0.695685,0.695626,0.452146,0.695586,0.000191,0.498059,0.265814,0.001006,0.999549,0.575678,0.000512,0.999549,0.627118,0.000000,1.000000,0.900431,1.000000,0.999738,0.999965,1.000000,1.000000,0.002756,0.876062,0.000061,0.000000,0.000076,0.000427,0.000159,0.075109,0.034756,0.013351,33.000000,0.288790,0.000194,0.996778,0.000000,0.000000
-87.932564,0.012544,0.000085,7.278777,7.278862,144.645003,144.644976,1.617518,1.569253,0.000086,0.007396,0.695701,0.695690,0.695631,0.452152,0.695592,0.000191,0.498044,0.265775,0.001006,0.999549,0.575566,0.000512,0.999549,0.627040,0.000000,1.000000,0.900772,1.000000,0.999739,0.999965,1.000000,1.000000,0.002751,0.865466,0.000060,0.000000,0.000075,0.000428,0.000160,0.081884,0.037516,0.014411,33.000000,0.288151,0.000194,0.996778,0.000000,0.000000
-87.932378,0.012607,0.000085,7.278720,7.278806,144.644758,144.644732,1.619063,1.570536,0.000086,0.007396,0.695694,0.695684,0.695624,0.452144,0.695585,0.000191,0.498015,0.265698,0.001006,0.999549,0.575431,0.000512,0.999549,0.626847,0.000000,1.000000,0.900328,1.000000,0.999737,0.999965,1.000000,1.000000,0.002757,0.868347,0.000060,0.000000,0.000076,0.000508,0.000189,0.078687,0.037449,0.014684,33.000000,0.288956,0.000194,0.996778,0.000000,0.000000
-87.932438,0.012603,0.000085,7.276870,7.276955,144.646615,144.646588,1.619237,1.570723,0.000086,0.007396,0.695696,0.695686,0.695627,0.452146,0.695587,0.000191,0.498228,0.266281,0.001006,0.999549,0.576737,0.000512,0.999549,0.628312,0.000000,1.000000,0.901452,1.000000,0.999743,0.999966,1.000000,1.000000,0.002757,0.887711,0.000062,0.000000,0.000076,0.000392,0.000146,0.070795,0.031036,0.009783,33.000000,0.286450,0.000194,0.996778,0.000000,0.000000
