Sample,dVm/dt
551,-0.399879
552,-0.404615
553,-0.392988
554,-0.400534
555,-0.394339
556,-0.401231
557,-0.398010
558,-0.395373
559,-0.399526
560,-0.398046
561,-0.397113
562,-0.394560
563,-0.396845
564,-0.404601
565,-0.401228
566,-0.408627
567,-0.399843
568,-0.402710
569,-0.397110
570,-0.401165
571,-0.397836
572,-0.404198
573,-0.400004
574,-0.399873
575,-0.401558
576,-0.398623
577,-0.403020
578,-0.395586
579,-0.400801
580,-0.400853
581,-0.394642
582,-0.400631
583,-0.398196
584,-0.404339
585,-0.401270
586,-0.400297
587,-0.405709
588,-0.404142
589,-0.399058
590,-0.400547
591,-0.403974
592,-0.391577
593,-0.398818
594,-0.407138
595,-0.400739
596,-0.402276
597,-0.402130
598,-0.404334
599,-0.401112
600,-0.400468
601,-0.399040
602,-0.401132
603,-0.398109
604,-0.403780
605,-0.401182
606,-0.400087
607,-0.396439
608,-0.394494
609,-0.398975
610,-0.403111
611,-0.394762
612,-0.398478
613,-0.402326
614,-0.400511
615,-0.399034
616,-0.397977
617,-0.408070
618,-0.411129
619,-0.403630
620,-0.399365
621,-0.396461
622,-0.389021
623,-0.397478
624,-0.399887
625,-0.398134
626,-0.394170
627,-0.402811
628,-0.398479
629,-0.397584
630,-0.400167
631,-0.399927
632,-0.400049
633,-0.406274
634,-0.401310
635,-0.411247
636,-0.396394
637,-0.410071
638,-0.407082
639,-0.415466
640,-0.408228
641,-0.396804
642,-0.396323
643,-0.393178
644,-0.387220
645,-0.396300
646,-0.401986
647,-0.397162
648,-0.401058
649,-0.408482
650,-0.405935
651,-0.399452
652,-0.396945
653,-0.389019
654,-0.397872
655,-0.397801
656,-0.397152
657,-0.404819
658,-0.382467
659,-0.397165
660,-0.408485
661,-0.403198
662,-0.403975
663,-0.405511
664,-0.402132
665,-0.402249
666,-0.401371
667,-0.399223
668,-0.398913
669,-0.403701
670,-0.393336
671,-0.403471
672,-0.400350
673,-0.402284
674,-0.397269
675,-0.398956
676,-0.402966
677,-0.395679
678,-0.407691
679,-0.405341
680,-0.403463
681,-0.406026
682,-0.404149
683,-0.398399
684,-0.397324
685,-0.400621
686,-0.400616
687,-0.398297
688,-0.396754
689,-0.407216
690,-0.406602
691,-0.400595
692,-0.393630
693,-0.399284
694,-0.397849
695,-0.394928
696,-0.398437
697,-0.404716
698,-0.399173
699,-0.400586
700,-0.401894
701,-0.402639
702,-0.397335
703,-0.401620
704,-0.405633
705,-0.409703
706,-0.402184
707,-0.401917
708,-0.397822
709,-0.391623
710,-0.399198
711,-0.400716
712,-0.395675
713,-0.403089
714,-0.400118
715,-0.404320
716,-0.404342
717,-0.394465
718,-0.405177
719,-0.398801
720,-0.398877
721,-0.405038
722,-0.405400
723,-0.403849
724,-0.403865
725,-0.411399
726,-0.401498
727,-0.403868
728,-0.401627
729,-0.397894
730,-0.394907
731,-0.401559
732,-0.399019
733,-0.405524
734,-0.396659
735,-0.406231
736,-0.403715
737,-0.398409
738,-0.398340
739,-0.396132
740,-0.399900
741,-0.404030
742,-0.395137
743,-0.403895
744,-0.391866
745,-0.395788
746,-0.399961
747,-0.396968
748,-0.400850
749,-0.399849
750,-0.401543
751,-0.403118
752,-0.399000
753,-0.407616
754,-0.404087
755,-0.404306
756,-0.407818
757,-0.400555
758,-0.397723
759,-0.397899
760,-0.401594
761,-0.401577
762,-0.407139
763,-0.395532
764,-0.404380
765,-0.394453
766,-0.400268
767,-0.399137
768,-0.405979
769,-0.404960
770,-0.402085
771,-0.393091
772,-0.399957
773,-0.396261
774,-0.399804
775,-0.413445
776,-0.418519
777,-0.409308
778,-0.418918
779,-0.415409
780,-0.414966
781,-0.412399
782,-0.404662
783,-0.397538
784,-0.394091
785,-0.389513
786,-0.400146
787,-0.394334
788,-0.401220
789,-0.394441
790,-0.398876
791,-0.397167
792,-0.398372
793,-0.401767
794,-0.391407
795,-0.399173
796,-0.398357
797,-0.402850
798,-0.394577
799,-0.401225
800,-0.398862
801,-0.402627
802,-0.408981
803,-0.400807
804,-0.398339
805,-0.397132
806,-0.402396
807,-0.406255
808,-0.402436
809,-0.402071
810,-0.403618
811,-0.410433
812,-0.410555
813,-0.406813
814,-0.399327
815,-0.398038
816,-0.393522
817,-0.401545
818,-0.394799
819,-0.399476
820,-0.400704
821,-0.395603
822,-0.401037
823,-0.397311
824,-0.406558
825,-0.403333
826,-0.400724
827,-0.384021
828,-0.394550
829,-0.400314
830,-0.402059
831,-0.408073
832,-0.414088
833,-0.407518
834,-0.394592
835,-0.397318
836,-0.397960
837,-0.400648
838,-0.391532
839,-0.405282
840,-0.398680
841,-0.396153
842,-0.399207
843,-0.398866
844,-0.401549
845,-0.397054
846,-0.403020
847,-0.400467
848,-0.399144
849,-0.400505
850,-0.408864
851,-0.397146
852,-0.400260
853,-0.404752
854,-0.400452
855,-0.395406
856,-0.401717
857,-0.400151
858,-0.398361
859,-0.399123
860,-0.410871
861,-0.407225
862,-0.394567
863,-0.401683
864,-0.399888
865,-0.399781
866,-0.405242
867,-0.399749
868,-0.392656
869,-0.399915
870,-0.399134
871,-0.399111
872,-0.401469
873,-0.401206
874,-0.399597
875,-0.400697
876,-0.401912
877,-0.398236
878,-0.400008
879,-0.403897
880,-0.401467
881,-0.401651
882,-0.394474
883,-0.401371
884,-0.396045
885,-0.408875
886,-0.401004
887,-0.400721
888,-0.403252
889,-0.400791
890,-0.405262
891,-0.398275
892,-0.399040
893,-0.408473
894,-0.391478
895,-0.396264
896,-0.410839
897,-0.396668
898,-0.410464
899,-0.401354
900,-0.392750
901,-0.405052
902,-0.404891
903,-0.389369
904,-0.402140
905,-0.403084
906,-0.402695
907,-0.406293
908,-0.397854
909,-0.401062
910,-0.396854
911,-0.403341
912,-0.403955
913,-0.402173
914,-0.396066
915,-0.399909
916,-0.402763
917,-0.399775
918,-0.395235
919,-0.401941
920,-0.410575
921,-0.406381
922,-0.407744
923,-0.408261
924,-0.412684
925,-0.410482
926,-0.405426
927,-0.406171
928,-0.395272
929,-0.404784
930,-0.399113
931,-0.400293
932,-0.401383
933,-0.400748
934,-0.400867
935,-0.402070
