V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.935852,0.011074,0.000084,7.282941,7.283025,144.649600,144.649573,1.589259,1.548441,0.000085,0.007393,0.695815,0.695806,0.695754,0.452290,0.695719,0.000191,0.500796,0.272996,0.001006,0.999549,0.593899,0.000512,0.999549,0.649851,0.000000,1.000000,0.920083,1.000000,0.999835,0.999977,1.000000,1.000000,0.002634,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252161,0.000194,0.996777,0.000000,0.000000
-87.935907,0.011055,0.000084,7.282933,7.283017,144.649696,144.649669,1.588740,1.548001,0.000085,0.007393,0.695817,0.695808,0.695756,0.452292,0.695722,0.000191,0.500813,0.273040,0.001006,0.999549,0.594014,0.000512,0.999549,0.650011,0.000000,1.000000,0.920242,1.000000,0.999836,0.999977,1.000000,1.000000,0.002631,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251851,0.000194,0.996777,0.000000,0.000000
-87.935846,0.011076,0.000084,7.282942,7.283026,144.649590,144.649563,1.589312,1.548485,0.000085,0.007393,0.695815,0.695806,0.695754,0.452290,0.695719,0.000191,0.500794,0.272991,0.001006,0.999549,0.593888,0.000512,0.999549,0.649835,0.000000,1.000000,0.920067,1.000000,0.999835,0.999977,1.000000,1.000000,0.002634,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252193,0.000194,0.996777,0.000000,0.000000
-87.935947,0.011041,0.000084,7.282927,7.283011,144.649764,144.649737,1.588370,1.547688,0.000085,0.007393,0.695818,0.695809,0.695758,0.452294,0.695723,0.000191,0.500825,0.273072,0.001006,0.999549,0.594097,0.000512,0.999549,0.650125,0.000000,1.000000,0.920355,1.000000,0.999836,0.999977,1.000000,1.000000,0.002630,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251629,0.000194,0.996777,0.000000,0.000000
-87.935381,0.011238,0.000084,7.283010,7.283094,144.648786,144.648759,1.593699,1.552198,0.000085,0.007393,0.695799,0.695789,0.695737,0.452270,0.695702,0.000191,0.500647,0.272615,0.001006,0.999549,0.592922,0.000512,0.999549,0.648500,0.000000,1.000000,0.918731,1.000000,0.999830,0.999976,1.000000,1.000000,0.002653,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.254796,0.000194,0.996777,0.000000,0.000000
-87.935099,0.011337,0.000084,7.283048,7.283133,144.648302,144.648275,1.596355,1.554444,0.000085,0.007394,0.695789,0.695779,0.695726,0.452259,0.695691,0.000191,0.500558,0.272389,0.001006,0.999549,0.592345,0.000512,0.999549,0.647709,0.000000,1.000000,0.917928,1.000000,0.999826,0.999975,1.000000,1.000000,0.002664,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.256351,0.000194,0.996777,0.000000,0.000000
-87.935676,0.011146,0.000084,7.282606,7.282690,144.649603,144.649576,1.591294,1.550176,0.000085,0.007393,0.695809,0.695800,0.695748,0.452283,0.695713,0.000191,0.500800,0.273027,0.001006,0.999549,0.594000,0.000512,0.999549,0.649907,0.000000,1.000000,0.919955,1.000000,0.999835,0.999977,1.000000,1.000000,0.002642,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252376,0.000194,0.996777,0.000000,0.000000
-87.935355,0.011247,0.000084,7.283013,7.283098,144.648741,144.648714,1.593944,1.552406,0.000085,0.007393,0.695798,0.695788,0.695736,0.452269,0.695701,0.000191,0.500638,0.272594,0.001006,0.999549,0.592868,0.000512,0.999549,0.648427,0.000000,1.000000,0.918657,1.000000,0.999829,0.999976,1.000000,1.000000,0.002654,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.254940,0.000194,0.996777,0.000000,0.000000
-87.935452,0.011220,0.000084,7.282797,7.282881,144.649080,144.649053,1.593250,1.551824,0.000085,0.007393,0.695801,0.695792,0.695739,0.452273,0.695704,0.000191,0.500703,0.272769,0.001006,0.999549,0.593329,0.000512,0.999549,0.649016,0.000000,1.000000,0.919146,1.000000,0.999832,0.999976,1.000000,1.000000,0.002651,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253971,0.000194,0.996777,0.000000,0.000000
-87.936098,0.011036,0.000084,7.285116,7.285200,144.648514,144.648487,1.586605,1.545564,0.000085,0.007393,0.695824,0.695814,0.695762,0.452300,0.695728,0.000191,0.500789,0.272962,0.001006,0.999549,0.593780,0.000512,0.999549,0.649655,0.000000,1.000000,0.919819,1.000000,0.999834,0.999976,1.000000,1.000000,0.002626,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252488,0.000194,0.996777,0.000000,0.000000
